Restaurant ID,Restaurant Name,City,Address,Longitude,Latitude,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes
17284404,Austin's BBQ and Oyster Bar,Albany,"2820 Meredyth Dr, Albany, GA 31707",-84.221535,31.610387,"BBQ, Burger, Seafood",25,2,3.3,Orange,Average,35
17284203,BJ's Country Buffet,Albany,"2401 Dawson Rd, Albany, GA 31707",-84.207095,31.608743,"American, BBQ",10,1,3.3,Orange,Average,25
17284105,Cookie Shoppe,Albany,"115 N Jackson St, Albany, GA 31701",-84.154,31.5772,,0,1,3.4,Orange,Average,34
17284302,El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",-84.2194,31.6158,Mexican,0,1,3.4,Orange,Average,45
17284397,Elements Coffee Co - Northwest,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",-84.206944,31.622412,"Coffee and Tea, Sandwich",10,1,3.4,Orange,Average,26
17284211,Pearly's Famous Country Cookng,Albany,"814 N Slappey Blvd, Albany, GA 31701",-84.1759,31.5882,,0,1,3.4,Orange,Average,36
17284094,Chick-fil-A,Albany,"2703 Dawson Rd, Albany, GA 31707",-84.2193,31.616,Fast Food,10,1,3.5,Yellow,Good,67
17284409,Guang Zhou Chinese Restaurant,Albany,"1214 N Westover Blvd, Albany, GA 31707",-84.2091458,31.6155186,"Asian, Chinese, Vegetarian",10,1,3.9,Yellow,Good,141
17284139,Harvest Moon,Albany,"2347 Dawson Road, Albany, GA 31707",-84.205718,31.604905,"Pizza, Bar Food, Sandwich",25,2,3.7,Yellow,Good,147
17284403,Henry Campbell's Steakhouse,Albany,"629 N. Westover Blvd, Albany, GA 31707",-84.223278,31.612121,"Steak, Tapas, Bar Food",70,4,3.5,Yellow,Good,51
17284145,Hong Kong Cafe,Albany,"2700 Dawson Rd, Albany, GA 31707",-84.2191,31.6156,"Chinese, Seafood, Vegetarian",25,2,3.6,Yellow,Good,88
17284150,House of China Restaurant II,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",-84.212,31.6104,Chinese,10,1,3.8,Yellow,Good,153
17284158,Jimmie's Hot Dogs,Albany,"204 S Jackson St, Albany, GA 31701",-84.1534,31.5751,,10,1,3.9,Yellow,Good,160
17284175,Locos Grill & Pub,Albany,"547 N Westover Blvd, Albany, GA 31707",-84.2228,31.6077,"American, Burger, Sandwich",25,2,3.5,Yellow,Good,57
17284179,Longhorn Steakhouse,Albany,"2733 Dawson Rd, Albany, GA 31707",-84.2229,31.6185,"American, Steak",25,2,3.5,Yellow,Good,58
17284197,Mikata Japanese Steakhouse,Albany,"2610 Dawson Rd, Albany, GA 31707",-84.2164,31.6137,"Japanese, Steak, Sushi",40,3,3.6,Yellow,Good,115
