business_id,categories,latitude,review_count,city,stars
vcNAWiLM4dR7D2nwwJ7nCA,Doctors;Health & Medical,33.499313,7,Phoenix,3.5
JwUE5GmEO-sH1FuwJgKBlQ,Restaurants,43.238893,26,De Forest,4
uGykseHzyS5xAMWoN6YUqA,American (Traditional);Restaurants,43.252267,16,De Forest,4
LRKJF43s9-3jG9Lgx4zODg,Food;Ice Cream & Frozen Yogurt;Fast Food;Restaurants,43.251045,7,De Forest,4.5
RgDg-k9S5YD_BaxMckifkg,Chinese;Restaurants,43.2408748,3,De Forest,4
oLctHIA1AxmsgOuu4dM6Vw,Television Stations;Mass Media,42.9685074,10,Mc Farland,1.5
ZW2WeP2Hp20tq0RG1NFkoQ,Home Services;Heating & Air Conditioning/HVAC,43.0303561,4,Mc Farland,2
95p9Xg358BezJyk1wqzzyg,Libraries;Public Services & Government,43.014093,4,Mc Farland,2.5
rdAdANPNOcvUtoFgcaY9KA,American (Traditional);Restaurants,43.0256436,33,Mc Farland,3.5
ZlhAvs_6ryi4_efZ1SpMbg,Veterinarians;Pets,43.017124,3,Mc Farland,4.5
_wZTYYL7cutanzAnJUTGMA,Bars;American (Traditional);Nightlife;Lounges;Restaurants,43.017701,31,Mc Farland,3.5
XrzTVrJAjs0yYLvhFI9vkQ,Hotels & Travel;Bed & Breakfast;Event Planning & Services;Hotels,43.015931,9,Mc Farland,5
1tkeiIa-daD8LbM6mHm_9A,Active Life;Bowling,43.0131557,3,Mc Farland,1.5
zOc8lbjViUZajbY7M0aUCQ,Pizza;Restaurants,43.014164,4,Mc Farland,3.5
UgjVZTSOaYoEvws_lAP_Dw,Chinese;Restaurants,43.0179387,8,Mc Farland,3.5
HxPpZSY6Q1eARuiahhra6A,Event Planning & Services;Party & Event Planning;Caterers,43.093265,5,Middleton,4
SKLw05kEIlZcpTD5pqma8Q,Party & Event Planning;Asian Fusion;Event Planning & Services;Venues & Event Spaces;Restaurants,43.090642,41,Middleton,3
77ESrCo7hQ96VpCWWdvoxg,Mexican;Restaurants,43.0910607,17,Middleton,3
9brW55Vzyi3ItboHWfoepg,Auto Repair;Automotive;Auto Parts & Supplies;Car Dealers,43.1115337,5,Middleton,2.5
368m5-RtrrYWf4hPM_bMlg,Active Life;Arts & Entertainment;Stadiums & Arenas,43.1101571,3,Middleton,3.5
YjoSdr8uJslIebsQP6c18w,Pet Services;Pets,43.077415,3,Middleton,4.5
rKNtd_M2kWDW8sQKYzetKA,Hotels & Travel;Event Planning & Services;Venues & Event Spaces;Hotels,43.096271,6,Middleton,4.5
x7xS2DJvu8klyNzcpN8QHg,Pilates;Yoga;Weight Loss Centers;Health & Medical;Fitness & Instruction;Active Life,43.1030719,5,Middleton,5
KTqNU4plO23583DYAMGXYg,Sandwiches;Pizza;Chicken Wings;Restaurants,43.1003841,3,Middleton,3
cgCqxPhadIAlsqnD1MoWuQ,Shopping;Arts & Crafts;Event Planning & Services;Cards & Stationery;Art Supplies;Flowers & Gifts,43.0954975,4,Middleton,3
YDUB7-NgjKEFn8CERLoKXQ,Arts & Crafts;Shopping;Knitting Supplies;Hobby Shops,43.0929029,3,Middleton,4
x7pStpT09Tdc8d7oRU0Tmw,Women's Clothing;Shopping Centers;Fashion;Shopping,43.091816,7,Middleton,3.5
1-EIdeHewfEVcpoZm38N8A,"Food;Beer, Wine & Spirits;Coffee & Tea",43.096359,22,Middleton,4
MKsb2VpLB-0UBODcInDsSw,Chinese;Restaurants,43.0970483,12,Middleton,2.5
ShEYKerTwb2LSORE5o_s7A,Bakeries;Food;Breakfast & Brunch;Coffee & Tea;Restaurants,43.107227,38,Middleton,3.5
HaBkx5PwvbBpQ2iNCgHnVQ,Bars;American (New);Nightlife;Restaurants,43.1014598,11,Middleton,3.5
KW6HejC-67KSL9J8Cz1dSw,Chinese;Restaurants,43.07534527,28,Middleton,3
wl-7A4jC0f27MOEmW-XTbQ,Chinese;Restaurants,43.1036633,6,Middleton,3
NGj-_5pkHc_DbH5bKUH2Xw,Pet Services;Pet Boarding/Pet Sitting;Pets,43.100808,3,Middleton,5
suQyHycqv8nA7EualcUB3g,Diners;Restaurants,43.0905631,5,Middleton,3
3jpKGDkFrCHpjEYVEgcG0A,Food;Coffee & Tea,43.0904559,6,Middleton,3
AYoLKzRFajucKnjIFxc__A,Food;Ice Cream & Frozen Yogurt,43.0954855,6,Middleton,2.5
c5awCF5eu0ZkxUf_i94uPA,Nightlife,43.103427,16,Middleton,3.5
GHvLvSN_imiXxqsgFPskWA,Health & Medical;Dentists;General Dentistry,43.1031224,3,Middleton,5
uga5g16PncJOtY7Sc3A05w,Burgers;Fast Food;Restaurants,43.090653,6,Middleton,4
9874O-3GjXPotxYKNNAz5Q,Veterinarians;Pets,43.082611,5,Middleton,5
naqkXvhoqljvA7kuo15gEw,Hotels & Travel;Event Planning & Services;Hotels,43.0901268,8,Middleton,3.5
xbJ9tdGbcVJIUkNgHSCwZQ,Bars;Nightlife;Restaurants,43.095696,10,Middleton,2.5
koRLvzIl-4fCybOIdk56jA,Cajun/Creole;Restaurants,43.0955526,56,Middleton,4
ckLRf3lYn9DxmNxd-mu2yA,Hotels & Travel;Event Planning & Services;Hotels,43.087887,35,Middleton,2.5
Bznf9AaGgdsLI01H_ifrUA,Active Life;Amateur Sports Teams,43.1083799,3,Middleton,3.5
YaaQx4qt1f36iFT4TWivAw,Bakeries;Food,43.1060972,14,Middleton,3.5
MBQc_jlZ3nlMOZy7SUM_5Q,Hotels & Travel;Event Planning & Services;Hotels,43.092882,12,Middleton,4
yuIcDVSy03FQe1RWhicDQw,Hardware Stores;Shopping;Home & Garden,43.1020783,3,Middleton,5
cruBFtsFaBuhX_I72uU8pA,Pizza;Restaurants,43.0955472,3,Middleton,1.5
X47o6R2rWiqGqvBtC7VS3Q,Breakfast & Brunch;Restaurants,43.0999335,19,Middleton,4
_tnYCShXuDlXjNVNctTkCA,Barbers;Beauty & Spas,43.0926846,11,Middleton,4.5
elBgDynz6UPoSqQgxiggJw,Hair Salons;Day Spas;Massage;Beauty & Spas,43.1077693,3,Middleton,5
lN-5-YTsaJr_IByyA476iw,Active Life;Bowling;Restaurants,43.0969474,10,Middleton,4
yNayFIJemmt-J3fNvmwuKA,Libraries;Public Services & Government,43.094959,3,Middleton,3.5
IEmqrFe96NOhU07TA0rZdw,American (Traditional);Restaurants,43.104535,7,Middleton,2
LOp0ciu7XhZwTqZUWG8qCw,Tires;Automotive;Auto Repair;Oil Change Stations,43.0994184,3,Middleton,5
